#nelems=960 dxmin=122250 elmin=442339 elmax=1.03963e+06 elavg=755092
#time    dt      den_tot        e           d KE      
39    0.00179375    2.388476025450272e+01    8.784077446742344e+07    1.274525509053661e+03
39.0018    0.00183859    2.287499803757827e+01    8.309477518363415e+07    6.645929655775473e+02
39.0036    0.00188456    2.287499803629584e+01    8.309477517729610e+07    6.645979407561970e+02
39.0055    0.00193167    2.287499803325830e+01    8.309477516273139e+07    6.646050656011715e+02
39.0074    0.00197996    2.287499802833376e+01    8.309477513932240e+07    6.646143345167545e+02
39.0094    0.00202946    2.287499802138576e+01    8.309477510642914e+07    6.646257331272340e+02
39.0115    0.0020802    2.287499801227003e+01    8.309477506337492e+07    6.646392414732679e+02
39.0135    0.00213221    2.287499800083389e+01    8.309477500944358e+07    6.646548364260939e+02
39.0157    0.00218551    2.287499798691581e+01    8.309477494387741e+07    6.646724935030736e+02
39.0179    0.00224015    2.287499797034488e+01    8.309477486587492e+07    6.646921882246968e+02
39.0201    0.00229615    2.287499795094038e+01    8.309477477458839e+07    6.647138971210450e+02
39.0224    0.00235356    2.287499792851121e+01    8.309477466912153e+07    6.647375984709691e+02
39.0247    0.00241239    2.287499790285533e+01    8.309477454852684e+07    6.647632728380825e+02
39.0272    0.0024727    2.287499787375922e+01    8.309477441180281e+07    6.647909034529318e+02
39.0296    0.00253452    2.287499784099723e+01    8.309477425789116e+07    6.648204764793114e+02
39.0322    0.00259788    2.287499780433092e+01    8.309477408567370e+07    6.648519811939038e+02
39.0348    0.00266283    2.287499776350845e+01    8.309477389396925e+07    6.648854101016598e+02
39.0374    0.0027294    2.287499771826380e+01    8.309477368153022e+07    6.649207590041094e+02
39.0402    0.00279764    2.287499766831603e+01    8.309477344703913e+07    6.649580270337718e+02
39.043    0.00286758    2.287499761336853e+01    8.309477318910490e+07    6.649972166647351e+02
39.0458    0.00293927    2.287499755310815e+01    8.309477290625897e+07    6.650383337070961e+02
39.0488    0.00301275    2.287499748720434e+01    8.309477259695116e+07    6.650813872911153e+02
39.0518    0.00308807    2.287499741530824e+01    8.309477225954540e+07    6.651263898455335e+02
39.0549    0.00316527    2.287499733705168e+01    8.309477189231524e+07    6.651733570734185e+02
39.058    0.0032444    2.287499725204624e+01    8.309477149343897e+07    6.652223079280830e+02
39.0613    0.00332551    2.287499715988207e+01    8.309477106099476e+07    6.652732645909859e+02
39.0646    0.00340865    2.287499706012689e+01    8.309477059295525e+07    6.653262524530386e+02
39.068    0.00349387    2.287499695232469e+01    8.309477008718212e+07    6.653813001003880e+02
39.0715    0.00358121    2.287499683599460e+01    8.309476954142022e+07    6.654384393054520e+02
39.0751    0.00367074    2.287499671062949e+01    8.309476895329143e+07    6.654977050237978e+02
39.0788    0.00376251    2.287499657569465e+01    8.309476832028827e+07    6.655591353972759e+02
39.0825    0.00385657    2.287499643062633e+01    8.309476763976707e+07    6.656227717637297e+02
